response,label
"Today, I mastered a new recipe! The aroma and taste of the dish turned out to be a delight. Cooking has become a therapeutic and rewarding experience for me",Normal
"""Despite years of therapy, I feel like I'm stuck in the same place emotionally. The frustration of not seeing any progress is disheartening",Stress
Being the only single one among my friends is causing agitation. The constant pressure to conform to societal norms and find a partner is making it hard for me to enjoy social gatherings. I'm feeling overwhelmed by the expectations placed on me.,Stress
"Tried my hand at rock climbing with bloomed friends today. Despite being a beginner, the thrill of reaching new heights, the supportive cheers, and the camaraderie turned it into an exhilarating adventurous and happy adventure",Normal
"We keep arguing about the same things, and it's tearing us apart.",Stress
"I'm so anxious about making friends in college. It feels like everyone already has their friend group, and I'm just left on the sidelines, feeling like an outsider",Stress
"Got the job offer! The relief, excitement, and the prospect of a new chapter in my career are making my heart soar",Normal
"Volunteered at a local senior center. The wisdom shared, the laughter, and the sense of companionship with the elderly community made it a heartwarming and mutually enriching experience",Normal
"Attending a local art class this weekend. The creativity, the learning experience, and the joy of expressing myself through art â€“ can't wait to explore new techniques!",Normal
"Every day feels like a battle against my own thoughts. I can't stop the negative thinking, and it's consuming me from the inside out",Stress
"Karaoke night â€“ singing, laughter, and happy moments",Normal
"I'm fed up with this routine. Coding, designing, the job â€“ it's all becoming too much. No progress, just constant pressure. What's the point of it all? I'm anxious about my future, and success seems like a distant dream",Stress
"All my friends are happily in relationships, and I can't help but feel isolated. The constant pressure to find a partner is causing anxiety, and I'm worried that I'm falling behind. It's like I'm in a race to catch up with everyone else.",Stress
Bought some fresh flowers for the home. The sight and fragrance of flowers can instantly lift the spirits.,Normal
Spent the day volunteering at an animal shelter. The unconditional love and gratitude from our furry friends made the experience heartwarming. Ready to make it a regular commitment,Normal
I feel like I'm walking on eggshells around my significant other,Stress
"I recently started a new hobby, and it's bringing so much joy to my life. It's amazing how a simple creative outlet can be so fulfilling.",Normal
"Attended a laughter yoga session today. The contagious laughter, positive vibes, and the release of endorphins turned it into an unexpected and joyful workout",Normal
"Successfully grew my own vegetables in a backyard garden. The taste of homegrown produce, the connection with nature, and the sustainability aspect brought a sense of fulfillment",Normal
"I feel like I'm suffocating under the weight of my own expectations. The constant pressure to be perfect is crushing, and I'm afraid that if I let my guard down for even a moment, everything will fall apart",Stress
"Attended a live performance by my favorite band. The energy, music, and the connection with fellow fans made it a night to remember. Music truly has the power to unite",Normal
"I have a big exam tomorrow, and no matter how much I study, I can't shake this feeling of dread. It's like my mind goes blank every time I try to recall the information",Stress
"Received a spontaneous invitation to a beach day with friends. The sun, the waves, and the laughter shared under the clear sky create a day of carefree joy",Normal
I keep making mistakes because I'm so stressed out,Stress
The societal expectations are weighing me down. The constant pressure to live up to the standards set by my friends and society is causing depression. It's like I'm suffocating under the weight of trying to meet everyone else's expectations.,Stress
"Spent the day at a local farmers' market. The vibrant colors, fresh produce, and the joy of supporting local vendors added a sense of community and connection to my weekend",Normal
"Hosted a virtual movie night with friends. The shared film experience, the laughter, and the joy of connecting through screens made it a modern yet heartfelt gathering",Normal
Watching my parents' health decline is heart-wrenching. The fear of losing them weighs heavily on me every day,Stress
Scenic drive with friends â€“ laughter and adventure.,Normal
"I'm so tired of feeling like this. It's like no matter what I do, I can't escape this feeling of emptiness and despair",Stress
"Attended a laughter yoga session today. The contagious laughter, positive vibes, and the release of endorphins turned it into an unexpected and joyful workout",Normal
I'm bursting with happiness because I just got engaged! I can't wait to start planning the wedding,Normal
Fear of failure crippling progress,Stress
"Spent the day at the beach with friends â€“ sun, sea, and smiles",Normal
Attended a comedy show â€“ giggles and good company,Normal
"No support system, carrying burden alone",Stress
"I'm at my wit's end with my colleagues. They slack off while I pick up the slack, yet they have the audacity to argue with me when I try to address it. I'm seething with anger, but I have to bite my tongue to maintain harmony for the sake of our team's performance",Stress
"Conquered the challenging hiking trail! The breathtaking views, the sense of accomplishment, and the bond with nature are unparalleled",Normal
"Adopted a pet from the local shelter. The wagging tail, the unconditional love, and the joy of giving a furry friend a forever home",Normal
"Completed a home DIY project using recycled materials. The sustainability, creativity, and the joy of repurposing items added a unique touch to my living space",Normal
"As a caregiver, the constant worry about my loved one's well-being is exhausting. The fear of making a mistake that could harm them is always lurking in the back of my mind",Stress
"I'm so stressed out, I don't know what to do.",Stress
"Spent an afternoon at a local art workshop. The freedom to express creativity, the joy of experimenting with different mediums, and the encouragement from fellow artists made it a memorable day",Normal
"The continuous financial strain is causing me extreme stress. The constant pressure to find a way out of debt, coupled with the fear of not being able to provide for myself and my family, is overwhelming and emotionally draining.",Stress
"Pressure cooker at home, no escape",Stress
Dancing at the party last night was super fun. I felt like I was on cloud nine,Normal
I feel like I'm drowning in work.,Stress
"Siblings' night in! Opted for a movie marathon, and despite our initial plan for a horror film, it ended up being a laughter-filled comedy night with everyone sharing their hilarious commentary. Pure sibling fun!",Normal
I'm feeling absolutely ecstatic about the good news I received today,Normal
"Took a scenic train journey through picturesque landscapes. The rhythmic sounds of the train, the window views, and the serenity of travel brought a sense of relaxation and exploration",Normal
"I'm a senior and I'm starting to go through the college application process and I just feel so overwhelmed. I haven't even finished my college list, started ny essays or supplemental or filed my FAFSA. Not to mention I'm doing EA so I have a sooner deadline. I haven't visited any colleges and me ecs are so bad. God I just want this to be over with.",Stress
It's always nice to catch up with old friends. Our conversation left me feeling so happy and fulfilled,Normal
"My partner is always criticizing me, and it's making me feel so tense and on edge all the time. I don't know how much more of this I can take",Stress
I can't shake this feeling of anxiety.,Stress
Had a board game marathon with friends. Playing a variety of games and enjoying friendly competition brought joy and relaxation,Normal
"I'm so overwhelmed with everything going on in my life. It's like I'm drowning in responsibilities, and I don't know how to keep my head above water",Stress
"Learned a new dance routine today. The rhythm, movement, and the joy of expressing emotions through dance made it an uplifting and energetic experience",Normal
Caught up on some much-needed sleep last night. Woke up feeling refreshed and ready to tackle the day.,Normal
"Exhausted from constant demands, no reprieve",Stress
"Booked a spontaneous weekend road trip with my cousins. Adventure, freedom, and the open road calling for shared laughter and joy",Normal
I'm feeling a bit tense about my financial stability. The constant pressure to manage my budget and save for the future is causing a mild sense of anxiety. It's hard to shake off the worry about financial setbacks.,Stress
"I'm so exhausted, but I can't seem to sleep. My mind won't shut off, and I'm left lying awake for hours on end",Stress
"Because of all of this my sleep schedule has not been exactly ideal, I usually go to bed at midnight and wake up early for class and the quality of my sleep is not what I would call good (tossing and turning and frequently waking up).",Stress
"I'm dealing with chronic pain, and the constant aches are making me depressed. The physical discomfort is affecting my mood, and I find it hard to concentrate on anything else.",Stress
"Successfully surprised my parents with a home-cooked dinner. The joy on their faces, the shared laughter, and the love around the table make it a memorable evening",Normal
"I can't focus on anything lately. My mind feels so scattered, and I keep forgetting important things. It's like my memory is failing me when I need it the most",Stress
"My boss keeps piling on more work, and I'm already swamped",Stress
"Joined a mindfulness meditation class. The peace, self-awareness, and the practice of living in the present moment have become valuable tools for maintaining inner balance",Normal
"Booked a spontaneous getaway with friends to a cozy cabin in the mountains. The serenity, the laughter by the fireplace, and the shared moments of relaxation are turning it into a rejuvenating and joyful escape",Normal
"The societal expectations are overwhelming, and I feel like I can never meet everyone's standards. The constant pressure to conform to social norms is causing anxiety, and I'm struggling to find my own identity amidst the expectations of others.",Stress
"Anxiety about job security, fear of failure",Stress
"I can't believe it â€“ my childhood soft toy, thought lost forever, is back in my arms after a decade! The flood of emotions is incredible, and I'm feeling like a kid again. Happiness overload!",Normal
"The workload at university is intense, and adding a part-time job to the mix is making me feel overwhelmed. I'm constantly worried about meeting deadlines and performing well academically while trying to make ends meet financially.",Stress
"Resentment towards colleagues, unable to speak up",Stress
"Feeling overwhelmed by workload, drowning",Stress
"I'm so overwhelmed with wedding planning. It feels like every decision is a huge weight on my shoulders, and I'm afraid I'm going to mess everything up",Stress
Dad just made my day â€“ he bought me the guitar I've been eyeing for so long! Grateful for his support in my musical journey. Excited to strum away and create melodies. This is a dream come true!,Normal
"Captured a stunning sunset photograph. The beauty of nature, the play of colors, and the joy of preserving a fleeting moment in time through photography",Normal
Potluck dinner at home â€“ tasty dishes and laughter,Normal
"Completed a challenging puzzle today. The focus, patience, and the joy of seeing the pieces come together created a therapeutic and satisfying experience",Normal
"Participated in a virtual cooking class. The culinary adventure, trying new recipes, and the satisfaction of a delicious homemade meal made it a delightful and educational experience",Normal
Suffocating under pressure to succeed,Stress
"I'm so overwhelmed with all the responsibilities of being a parent. It feels like I'm constantly juggling a million things at once, and I'm afraid I'm going to drop the ball",Stress
"Spent the afternoon at the park, enjoying the sunshine and reading a book. Simple pleasures can bring so much joy.",Normal
"I'm so overwhelmed with all my responsibilities. I feel like I'm on the verge of a breakdown, but I have no one to turn to for support",Stress
Just stumbled upon my childhood soft toy after nearly a decade! The flood of memories and the joy I feel right now are indescribable. Grateful for this unexpected find!,Normal
"Received a handwritten letter from a friend. The personal touch, the effort in each word, and the nostalgia of traditional correspondence warmed my heart",Normal
"Baked a batch of homemade cookies. The sweet aroma, the joy of creating a delicious treat, and the satisfaction of sharing with friends and family added warmth to my day",Normal
"I feel like I'm suffocating under the weight of my own thoughts. It's like there's this constant pressure pressing down on me, and I can't escape it",Stress
"I'm in constant pain, both physically and emotionally. It's like I'm trapped in this never-ending cycle of suffering, and I don't know how to break free",Stress
"Embarked on a solo travel adventure today! The freedom, exploration, and the joy of discovering new places have added a thrilling chapter to my life's journey",Normal
"I got laid off from my job, and the stress of job loss is affecting my self-efficacy. I'm constantly questioning my abilities and worth. The anxiety about finding a new job is keeping me awake at night.",Stress
I'm constantly worried about what society expects from me. The pressure to conform to certain norms set by friends and societal standards is causing negative thinking and self-doubt. It feels like I'm always under scrutiny.,Stress
"Took a spontaneous road trip. Open roads, new discoveries, and carefree joy",Normal
"Rediscovered the joy of rollerblading with my sister. The wind in my hair, laughter, and a carefree ride â€“ like reliving the best memories",Normal
"Spent the evening stargazing with a telescope. The awe-inspiring views of the cosmos, the tranquility, and the sense of wonder at the vast universe brought a deep sense of contemplation",Normal
"Completed a painting that's been in my heart for weeks. Colors, emotions on canvas, and the satisfaction of artistic expression",Normal
"The thought of going to social gatherings alone fills me with dread. The fear of being judged or rejected by others keeps me isolated, and I'm tired of feeling like an outsider",Stress
"Camping with pals â€“ nature, bonfires, and relaxation",Normal
I can't handle the constant pressure to meet deadlines,Stress
"Rediscovered the joy of playing board games with siblings. The friendly competition, the banter, and the joy of being together made it a laughter-filled day",Normal
"I made a mistake at work, and the fear of judgment is making me anxious. I can't shake off the negative thinking, and it's affecting my confidence. The constant worry about my professional reputation is stressful.",Stress
Financial instability is a source of concern for me. The constant worry about job security and the fear of unexpected expenses are causing a bit of tension. It's hard to fully enjoy life when the future feels uncertain.,Stress
"Took a scenic bike ride along a nature trail. The fresh air, the rhythmic pedaling, and the connection with the outdoors brought a sense of serenity and rejuvenation",Normal
"Live music event â€“ dancing, music, and pure joy",Normal
Spent the evening learning to play a new musical instrument. The process of creating music is such a therapeutic experience.,Normal
"Attended a live performance by my favorite band. The energy, music, and the connection with fellow fans made it a night to remember. Music truly has the power to unite",Normal
Themed dinner party with friends â€“ delicious food and joy,Normal
"Cooking class with buddies â€“ new recipes, joy, and yum",Normal
I'm starting to crack under the pressure.,Stress
"I'm so frustrated with my job. It feels like no matter how hard I work, I never get the recognition or appreciation I deserve",Stress
"Sowed seeds in my garden today. The promise of future blooms, the smell of soil, and the therapeutic nature of gardening brought a sense of peace and joy to my day",Normal
"I'm so stressed about work. It feels like I'm constantly under pressure to perform, and I can't relax for even a moment",Stress
Completed a DIY home improvement project today! The satisfaction of creating something with my own hands and enhancing my living space is immeasurable. Ready to take on the next project!,Normal
"Fear of disappointing loved ones, constant worry",Stress
"Every time I check my bank account, I feel sick to my stomach",Stress
"Started a new book, and it's capturing my attention. There's nothing like getting lost in a captivating story.",Normal
My partner and I keep arguing over the smallest things,Stress
"I have so much studying to do, and I don't know where to start",Stress
Dealing with my partner's mood swings is really taking a toll on me,Stress
"Time always running out, constant rush",Stress
Had a spontaneous picnic in the backyard with friends. Enjoying good food and laughter in the open air is always a mood lifter.,Normal
"All my friends are in great shape, and I'm constantly worried about my appearance. I feel like an outcast when we're together. Trying to lose weight feels like an endless battle, and I can't shake off this negative thinking about my own self-worth.",Stress
"The pressure to succeed is overwhelming. It feels like I'm carrying the weight of the world on my shoulders, and I'm afraid that one wrong move will send everything crashing down",Stress
"I'm so tired of feeling like I'm always on the verge of a breakdown. The stress of trying to hold everything together is overwhelming, and I'm afraid that one day I won't be able to cope anymore",Stress
"Captured a stunning sunset photograph. The beauty of nature, the play of colors, and the joy of preserving a fleeting moment in time through photography.",Normal
"Student loans are piling up, and the financial strain is causing anxiety. The constant worry about debt is affecting my ability to concentrate on my studies. It feels like I'm drowning in financial pressure.",Stress
"I'm so exhausted from trying to please everyone else. It feels like no matter what I do, it's never enough, and I'm starting to wonder if it's even worth it",Stress
"I'm so tired of feeling like I'm on a treadmill, constantly running but never getting anywhere. The monotony of everyday life is suffocating, and I'm desperate for a change",Stress
"Financial instability is consuming my thoughts, and the stress is taking a toll on my mental health. The constant pressure to navigate a complex financial situation, coupled with the fear of a financial collapse, is causing overwhelming anxiety.",Stress
"From the crack of dawn, my phone is bombarded with client calls, leaving me no respite even for a moment's peace. It's like a never-ending barrage that disrupts my entire day, and I'm fed up with this relentless cycle. The clients fail to understand the toll this job takes on my mental well-being",Stress
"Even though my friends don't judge me for my financial situation, I can't shake the feeling of shame and discomfort. I'm constantly playing catch-up, unable to contribute equally when we go out, and it weighs heavily on me",Stress
I'm feeling really happy about my decision to try something new. It's nice to step out of my comfort zone,Normal
"Booked tickets for a weekend getaway to the mountains. The anticipation, the scenic views, and the joy of escaping to nature for a while",Normal
Had a fun cooking session with my roommate. Trying out new recipes always adds a bit of excitement to daily life.,Normal
"Received a handwritten letter from a loved one. The personal touch, the heartfelt words, and the connection through written expressions brought tears of happiness",Normal
"Dealing with significant financial instability is causing me extreme stress. The constant worry about job security, mounting debt, and the fear of financial ruin has become a heavy burden that I carry every day.",Stress
"I'm so overwhelmed with all the responsibilities of being a caregiver. It feels like I'm constantly on call, and I never have a moment to myself",Stress
"I'm so tired of feeling like I'm not good enough. It's like no matter how hard I try, I always fall short of other people's expectations",Stress
"Completed a DIY crafting project with recycled materials. The sustainability, the joy of repurposing items, and the artistic satisfaction turned it into a mindful and eco-friendly activity",Normal
"Heart pounding, palms sweaty â€“ the nerves are real! Today marks my first date, and I'm absolutely thrilled. It's a mix of excitement and jitters, but the anticipation of a great time is keeping a smile on my face",Normal
I've been living paycheck to paycheck for so long that the idea of a financial emergency terrifies me. The stress of not having a safety net is overwhelming,Stress
"Spent the day at a nature retreat, surrounded by lush greenery and the calming sounds of birds. The tranquility and peace I found there have rejuvenated my spirit. Grateful for moments of serenity",Normal
"Loneliness despite friends, financial disparity",Stress
Celebrated a personal milestone â€“ one year of daily gratitude journaling. Reflecting on the positive aspects of each day has cultivated a mindset of appreciation and joy,Normal
"Today, I crafted my first homemade pizza, and it turned out unbelievably good! The satisfaction of a delicious creation and the joy of everyone loving it is simply delightful",Normal
"Visited a local farmer's market and picked up some fresh, locally sourced produce. Cooking with seasonal ingredients adds a delightful touch to meals.",Normal
"Completed a home DIY project using recycled materials. The sustainability, creativity, and the joy of repurposing items added a unique touch to my living space",Normal
"It's been weeks since my parents have spoken civilly to each other. The tension in the house is palpable, and I feel like I'm walking on eggshells all the time",Stress
Taking a walk in the park is such a nice way to clear my mind and make me feel happy.,Normal
"Dealing with my colleagues is like navigating a minefield. They shirk their responsibilities, leaving me to pick up the pieces, yet somehow I'm the one who ends up shouldering the blame when things go wrong. It's infuriating, but I have to keep my frustrations bottled up to maintain professionalism",Stress
Joined a local hiking club and conquered a challenging trail today. The breathtaking views from the summit and the camaraderie of fellow hikers made it an unforgettable adventure,Normal
Picnic in the park with pals â€“ simple joys and great company,Normal
I can't stop smiling after watching that heartwarming movie. It was such a feel-good experience,Normal
"Guess what? Found my childhood soft toy after a decade of it being MIA! The nostalgia is hitting hard, and I'm embracing the joy of rediscovery. It's like a piece of my past has come back to me",Normal
"I'm feeling a bit overwhelmed by my financial situation. The constant pressure to manage bills and save for the future is causing some anxiety. It's like I'm walking on a financial tightrope, and one wrong move could lead to stress.",Stress
"Tickets secured for the live concert! Excitement, music vibes, and counting down the hours with friends for an unforgettable night",Normal
"Completed a course in digital illustration. The growth in skills, the sense of accomplishment, and the potential for creative expression opened new avenues in my artistic journey",Normal
"Oh, the anticipation of vacation has me positively buzzing with excitement! I've been eagerly counting down the days, and now that it's finally on the horizon, I can hardly contain my joy. This time, I've got something truly special planned – a vacation with both my family and my friends!And the best part? I get to share this excitement with two of the most important groups of people in my life – my family, who have always been my pillars of support and love, and my friends, who bring endless joy, laughter, and spontaneity into my world.",Normal
The thought of undergoing surgery fills me with dread. The fear of complications or not waking up from anesthesia keeps me up at night,Stress
"Woke up to a sunny day. Simple joys, warm rays, and a positive start",Normal
"Mastered a new language phrase today! Language learning is a journey, and each milestone feels like unlocking a new world of communication and understandin",Normal
"The pressure to find a partner is making me irritable. All my friends are in relationships, and I'm tired of the constant questions about my own relationship status. It's like I can't escape the societal expectation to be in a relationship.",Stress
"I'm constantly worried about my health, and it's consuming me",Stress
I'm feeling a bit anxious about my financial situation. The constant pressure to save for emergencies and future goals is causing stress. It's like I'm in a constant battle between financial stability and the fear of setbacks.,Stress
Laughing with my best friends over brunch this morning was absolutely hilarious. I love our bond,Normal
"Being the eldest sibling feels like being burdened with the weight of the world. I'm expected to set an example for my younger siblings, to excel in everything I do. It's exhausting, and sometimes I wish I could just let go of the pressure and live my own life",Stress
"Embarked on a solo travel adventure today! The freedom, exploration, and the joy of discovering new places have added a thrilling chapter to my life's journey.",Normal
I'm struggling with loneliness as all my friends are in relationships. The constant pressure to find a significant other is causing moodiness and self-doubt. It feels like I'm stuck in a cycle of comparing myself to others and feeling inadequate.,Stress
"Started a new podcast series, and it's making my daily commute much more enjoyable. Learning new things and staying entertained during travel.",Normal
"Just got tickets to my favorite band's concert! The anticipation, the music vibes, and the excitement are off the charts. It's going to be epic!",Normal
Stargazing night â€“ serenity and shared moments,Normal
Enjoyed a leisurely Sunday brunch with family. Good food and quality time â€“ the perfect combination.,Normal
Being the only single one in my friend group is making me anxious. The constant pressure to find a partner is causing negative thinking about my worth and attractiveness. It's hard to enjoy social gatherings when everyone else is coupled up.,Stress
"Overwhelmed by workload, no end in sight",Stress
